country,iso_code,year,events,fatalities,e_participation_index,media_freedom_score,wave,polarization_score,polarization_zscore,wpf_score,enrollment_percentage,democracy_score
Spain,ESP,2011,,,,,6.0,0.6450586058522733,0.5475729947430981,,,8.02
Spain,ESP,2013,,,,,,,,0.5888157894736842,,8.02
Spain,ESP,2018,,,,,,,,0.58875,92.1748886108398,8.08
Spain,ESP,2019,,,,,,,,0.5790131578947368,91.020263671875,8.29
Spain,ESP,2020,,,,,,,,0.5778947368421052,90.9548492431641,8.12
Spain,ESP,2021,,,,,,,,0.5892105263157895,94.5903778076172,7.94
Spain,ESP,2022,,,,,,,,0.5704605263157895,94.5131072998047,8.07
Spain,ESP,2023,,,,,,,,0.5616447368421053,..,8.07
Spain,ESP,2024,19363.0,6.0,0.8082,,,,,,,8.13
Sweden,SWE,2011,,,,,6.0,0.3983014658700745,-1.3205859472616783,,,9.5
Sweden,SWE,2013,,,,,,,,0.6629605263157895,,9.73
Sweden,SWE,2018,,,,,,,,0.6690131578947368,73.4083786010742,9.39
Sweden,SWE,2019,,,,,,,,0.6690131578947368,75.1148529052734,9.39
Sweden,SWE,2020,,,,,,,,0.662828947368421,79.1196365356445,9.26
Sweden,SWE,2021,,,,,,,,0.6760526315789473,85.9426193237305,9.26
Sweden,SWE,2022,,,,,,,,0.6502631578947369,83.8976135253906,9.39
Sweden,SWE,2023,,,,,,,,0.6457236842105264,..,9.39
Sweden,SWE,2024,6371.0,1.0,0.7945,,,,,,,9.39
Taiwan,TWN,2011,,,,,,,,,,7.46
Taiwan,TWN,2013,,,,,,,,0.5669736842105264,,7.57
Taiwan,TWN,2018,,,,,,,,0.57,,7.73
Taiwan,TWN,2019,,,,,7.0,0.6620158618445366,0.6759536746946337,0.5593421052631579,,7.73
Taiwan,TWN,2020,,,,,,,,0.5673684210526315,,8.94
Taiwan,TWN,2021,,,,,,,,0.5667105263157894,,8.99
Taiwan,TWN,2022,,,,,,,,0.5531578947368421,,8.99
Taiwan,TWN,2023,,,,,,,,0.5627631578947369,,8.92
Taiwan,TWN,2024,6269.0,0.0,,79.0,,,,,,8.78
Thailand,THA,2011,,,,,,,,,,6.55
Thailand,THA,2013,,,,,6.0,0.6610185596429727,0.668403258824734,0.4697368421052632,,6.25
Thailand,THA,2018,,,,,7.0,0.5833104505262091,0.0800875613610754,0.4321710526315789,46.5399513244629,4.63
Thailand,THA,2019,,,,,,,,0.4335526315789474,45.4407386779785,6.32
Thailand,THA,2020,,,,,,,,0.4280263157894737,43.1145401000977,6.04
Thailand,THA,2021,,,,,,,,0.4261842105263158,44.0830879211426,6.04
Thailand,THA,2022,,,,,,,,0.3957236842105263,43.9606094360352,6.67
Thailand,THA,2023,,,,,,,,0.4292105263157895,46.1752090454102,6.35
Thailand,THA,2024,5141.0,611.0,0.7534,39.0,,,,,,6.27
Turkey,TUR,2011,,,,,6.0,0.5870675195061801,0.1085317312487952,,,5.73
Turkey,TUR,2013,,,,,,,,,,5.63
Turkey,TUR,2018,,,,,7.0,0.5556107662916837,-0.129622329088986,,,4.37
Turkey,TUR,2019,,,,,,,,,,4.09
Turkey,TUR,2020,,,,,,,,,,4.48
Turkey,TUR,2021,,,,,,,,,,4.35
Turkey,TUR,2022,,,,,,,,,,4.35
Turkey,TUR,2023,,,,,,,,,,4.33
Turkey,TUR,2024,35742.0,2545.0,0.863,31.0,,,,,,4.26
Ukraine,UKR,2011,,,,,6.0,0.6497580870956323,0.583152017535299,,,5.94
Ukraine,UKR,2013,,,,,,,,0.4816447368421053,,5.84
Ukraine,UKR,2018,,,,,,,,0.5186842105263159,81.4946670532227,5.69
Ukraine,UKR,2019,,,,,,,,0.5101315789473685,84.4813613891602,5.9
Ukraine,UKR,2020,,,,,7.0,0.5479840917125179,-0.1873626656557695,0.5097368421052632,82.1345977783203,5.81
Ukraine,UKR,2021,,,,,,,,0.506842105263158,75.9079437255859,5.57
Ukraine,UKR,2022,,,,,,,,0.4326315789473683,..,5.42
Ukraine,UKR,2023,,,,,,,,0.4683552631578947,..,5.06
Ukraine,UKR,2024,201395.0,145810.0,1.0,59.0,,,,,,4.9
United States,USA,2011,,,,,6.0,0.7039920043154091,0.9937483529498768,,,8.11
United States,USA,2013,,,,,,,,0.6038157894736842,,8.11
United States,USA,2018,,,,,,,,0.5675657894736842,88.2991790771484,7.96
United States,USA,2019,,,,,,,,0.554671052631579,87.8887100219727,7.96
United States,USA,2020,,,,,,,,0.5667763157894737,87.5676574707031,7.92
United States,USA,2021,,,,,,,,0.5662499999999999,84.8550872802734,7.85
United States,USA,2022,,,,,,,,0.5443421052631578,79.361930847168,7.85
United States,USA,2023,,,,,,,,0.5343421052631578,..,7.85
United States,USA,2024,74689.0,445.0,0.9452,76.0,,,,,,7.85
Uruguay,URY,2011,,,,,6.0,0.687917276536884,0.8720491533161369,,,8.17
Uruguay,URY,2013,,,,,,,,0.6189473684210526,,8.17
